gene_symbol,n_groups,mean_log2FC
Jam2,6,-0.22970866661119788
Ccdc9b,6,5.418830899744006
Akap6,6,0.11561383910755318
Hhip,6,-0.24491036313007525
Rpl19,6,0.1019282764486004
Rpl21,6,0.17133523237012552
Rpl23,6,-0.11598897119445713
Rpl23a,6,0.1527014156280371
Rpl26,6,0.08490256543947024
Zfp52,6,2.350289657798855
Rpl36a,6,0.2794379808788172
Rpl27a,6,0.03443025709495116
Snrpa,6,0.17381060130742035
Soat1,6,0.025830830291680262
Cav1,6,-0.3685621002833583
Hif1a,6,-0.11956937740757533
Kcnh5,6,-0.9878425222642301
Pfdn5,6,0.026605372966876345
Usp45,6,-0.11059322454712821
Gna13,6,0.07934679494771942
Brd2,6,0.07876214350434359
Stt3b,6,0.136689643506704
Rnf11,6,-0.045989106026760665
Cetn3,6,-0.15007454538731102
Slc9a7,6,0.39254980150457236
Rps15,6,0.21890332142414828
Gpr155,6,-0.15976086456678582
Rps14,6,0.005166205463116564
Klhl11,6,0.22131161812091116
Klf15,6,0.22591202624149934
Stat1,6,-0.050551024995847404
Rps10,6,0.0941919886274918
Pdap1,6,0.27074086665240454
Cdkn1a,6,0.29496391405034916
Slitrk4,6,-0.005972140450675456
Usp8,6,-0.06972267452333665
Slmap,6,0.26286128755236243
Gtf2f1,6,0.17975973160693987
Ank2,6,0.014506858990496302
Uty,6,-0.2623052492138284
Ssbp4,6,0.19172488659769385
Srsf10,6,-0.07129569183550398
Hccs,6,-0.06554591195123967
Btbd1,6,0.11793101922373873
Cnksr2,6,0.7980232614288411
Osbpl8,6,-0.23508224845491693
Ndufc2,6,0.04257458504945345
Dok6,6,0.11728459156668701
Eps15,6,-0.1489936298350587
U2af1l4,6,0.10594254307665334
Raph1,6,-0.08452112290376455
Sema6d,6,-0.1895395300266157
Tmem47,6,-0.3545568897755079
Dock1,6,0.11453281168254917
Mib1,6,0.1493143463936022
Cst3,6,-0.17182864641288084
Exoc5,6,-0.10194698798652024
Puf60,6,0.052612330594603796
Purb,6,-0.01699672232055714
Ube2b,6,-0.23460513859338053
Pqbp1,6,0.08604897437791323
Atp8a2,6,0.33829007560435703
Rb1,6,-0.35355589546489813
Zfyve9,6,0.7748093856990224
Zfp148,6,-0.10749788676112423
Mtpn,6,-0.13271271294422113
Atf2,6,-0.0789361354088167
Ednrb,6,-0.38888113476831776
Ndufa2,6,0.24893217423398925
Mrps21,6,0.21531562884228644
Rap1b,6,0.37992001753508686
Mrpl2,6,0.2149869702269738
Mrps34,6,0.21461271631094797
Prrt1,6,0.12791735055110864
Arih1,6,-0.22267369287224348
Dpy19l4,6,-0.023511289613259323
Ppan,6,0.03819742430686934
Eif4g1,6,0.09716356731821003
Msantd2,6,2.158991097275391
Dtx1,6,0.8561558253550209
Ncan,6,0.04697707477009117
Ptms,6,0.11977965055375547
Drap1,6,0.22741510502936496
Ythdf3,6,-0.22035977594196435
Sart1,6,0.18502644245694155
Mcc,6,0.4891981525450277
Fcho2,6,-0.15927545832959547
Mbnl1,6,-0.04648870415115465
Trir,6,0.24428585224770685
Rab10,6,-0.1987933301398678
Mxd4,6,0.4601032959384315
Mbd3,6,0.12436040931066629
Tmem160,6,1.4364149903949694
Mbnl2,6,-0.38100953268705406
Ube2m,6,0.19343565593322498
Sez6l2,6,0.15164423301534832
Trmt1,6,0.028245229726305412
Matk,6,0.14359844872497785
Cox5b,6,0.23199212613737843
Fgd4,6,0.013707867896169765
Cox4i1,6,0.08077705322818704
Trip12,6,-0.08233278305511695
Trim59,6,-0.35994691686117836
N4bp2l2,6,-0.5647974709937612
Rab24,6,0.7750525284461058
Cox8a,6,0.13752084640132325
Nadk2,6,0.22091928393418697
Nf1,6,0.19238577895578074
Mea1,6,0.29019349180183074
Ddrgk1,6,0.23907248619971197
Mt2,5,0.7327401313007372
Smarca2,5,-0.15113801616301567
Cadm2,5,-0.13196361399547338
Kctd12,5,-0.2732613957486844
Kcnq3,5,0.1759270476081076
Zdbf2,5,-0.14303185563230494
Arsk,5,-0.2630211293973797
Cand1,5,-0.009770863305927774
Ireb2,5,-0.26965663394925765
Mrps7,5,0.13697300840917323
Smad4,5,-0.07351011194719359
Keap1,5,0.21017546628592626
Kif1a,5,0.2880942660225589
Ipo7,5,-0.07869158211089554
Sdhd,5,-0.0541143645862377
Myl6,5,0.2559578489950607
Snrpd3,5,-0.00026119758348202334
Atg2b,5,0.0640274986079884
Kif3b,5,0.3837146546489095
Kdm1b,5,0.012521991469297245
Asah1,5,-0.13523228208301907
Mt3,5,0.3710843072691344
Cadps,5,0.05120649896655969
Itsn1,5,0.17881809580251543
Wapl,5,-0.1218671146195998
Caprin1,5,-0.11248187763049207
Mtus1,5,-0.14480799068562683
Ash1l,5,0.11815261842037716
Ivns1abp,5,-0.18336040211740232
Jak2,5,-0.12584065184946527
Mtmr9,5,0.24681672356769568
Mtx1,5,0.09724108794296138
Sdc3,5,0.06583410347800356
Camk2g,5,0.15122234939642804
Jph3,5,0.1992000413956271
Mrps16,5,0.07711548589340837
Camk2b,5,0.07293158715020207
Mvd,5,0.14744931921494905
Washc4,5,-0.2220126408468843
Smox,5,0.1825138375850871
