Accession,Condition,GeneSet,Term,NES,FDR
Acc11,TBI,Hallmark,prerank,1.0625169948521314,0.7816625412541254
Acc11,TBI,Hallmark,prerank,1.04777098814042,0.7741215298000389
Acc11,TBI,Hallmark,prerank,-1.0258132329439595,0.9365312107247591
Acc11,TBI,Hallmark,prerank,-0.998860693824816,0.9331928152492669
Acc11,TBI,Hallmark,prerank,0.9737961216198409,0.945911257792446
Acc11,TBI,Hallmark,prerank,0.9714634472993584,0.9018586069133229
Acc11,TBI,Hallmark,prerank,0.9696327179119649,0.8622112211221121
Acc11,TBI,Hallmark,prerank,0.9647392316294661,0.8306616375923308
Acc11,TBI,Hallmark,prerank,0.963159091859054,0.7966171617161717
Acc11,TBI,Hallmark,prerank,-0.9221096791333909,1.0
Acc11,TBI,Hallmark,prerank,-0.9136964297235738,1.0
Acc11,TBI,Hallmark,prerank,0.9051609152355998,0.8977256421294303
Acc11,TBI,Hallmark,prerank,-0.8903175912852257,1.0
Acc11,TBI,Hallmark,prerank,0.885247495835382,0.9083470847084708
Acc11,TBI,Hallmark,prerank,-0.8816017238426589,0.9949902248289345
Acc11,TBI,Hallmark,prerank,-0.8725069232943461,0.9433792014437177
Acc11,TBI,Hallmark,prerank,0.8660942885662222,0.9112211221122113
Acc11,TBI,Hallmark,prerank,0.8381368591030898,0.937960142168063
Acc11,TBI,Hallmark,prerank,-0.8244783050449451,0.9846041055718475
Acc11,TBI,Hallmark,prerank,-0.8162381048499312,0.9305962854349952
Acc11,TBI,Hallmark,prerank,-0.7978045781945499,0.903592375366569
Acc11,TBI,Hallmark,prerank,0.7942440017597471,0.9879293484904045
Acc11,TBI,Hallmark,prerank,0.7265533915921354,1.0
Acc11,TBI,Hallmark,prerank,0.7233718137593814,1.0
Acc11,TBI,Hallmark,prerank,0.6857200569663201,1.0
