SYMBOL,ENTREZID,ENSEMBL,GENENAME
Celf2,14007,ENSMUSG00000002107,"CUGBP, Elav-like family member 2"
Nr1h3,22259,ENSMUSG00000002108,"nuclear receptor subfamily 1, group H, member 3"
Ddb2,107986,ENSMUSG00000002109,damage specific DNA binding protein 2
Spi1,20375,ENSMUSG00000002111,Spi-1 proto-oncogene
Sf3a1,67465,ENSMUSG00000002129,"splicing factor 3a, subunit 1"
Stat6,20852,ENSMUSG00000002147,signal transducer and activator of transcription 6
Clgn,12745,ENSMUSG00000002190,calmegin
Napsa,16541,ENSMUSG00000002204,napsin A aspartic peptidase
Vrk3,101568,ENSMUSG00000002205,vaccinia related kinase 3
Smg9,71997,ENSMUSG00000002210,SMG9 nonsense mediated mRNA decay factor
Paxip1,55982,ENSMUSG00000002221,PAX interacting (with transcription-activation domain) protein 1
Rmnd5a,68477,ENSMUSG00000002222,required for meiotic nuclear division 5 homolog A
Mov10,17454,ENSMUSG00000002227,Mov10 RISC complex RNA helicase
Ppm1j,71887,ENSMUSG00000002228,protein phosphatase 1J
Rhoc,11853,ENSMUSG00000002233,ras homolog family member C
Tead3,21678,ENSMUSG00000002249,TEA domain family member 3
Ppard,19015,ENSMUSG00000002250,peroxisome proliferator activator receptor delta
Def6,23853,ENSMUSG00000002257,differentially expressed in FDCP 6
Peg3,18616,ENSMUSG00000002265,paternally expressed 3
Zim1,22776,ENSMUSG00000002266,"zinc finger, imprinted 1"
Metrn,70083,ENSMUSG00000002274,"meteorin, glial cell differentiation regulator"
Lmf1,76483,ENSMUSG00000002279,lipase maturation factor 1
Ciao3,67563,ENSMUSG00000002280,cytosolic iron-sulfur assembly component 3
Angptl4,57875,ENSMUSG00000002289,angiopoietin-like 4
