"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_2973467",-0.0871810199999999,0.950182294285714,-1.49011001239715,0.156088173593071,0.489721803802716,-5.38066907610658
"ILMN_2625318",0.0901028666666667,1.05148738571429,1.49008627876278,0.156094349245489,0.489721803802716,-5.38070111889201
"ILMN_2695450",-0.0851605608333331,0.951336855714286,-1.4899757740019,0.156123106012142,0.489721803802716,-5.3808503063929
"ILMN_2514776",0.0953637633333335,1.05449366571429,1.48989652979943,0.156143730527926,0.489721803802716,-5.38095728535001
"ILMN_2638354",0.0800520500000002,1.04574402857143,1.48983688378778,0.15615925581133,0.489721803802716,-5.38103780413229
"ILMN_2770260",-0.0831004833333332,0.952514042857143,-1.48981561573832,0.156164791991027,0.489721803802716,-5.38106651422996
"ILMN_3024416",-0.0960007558333333,0.945142478571429,-1.48979401422955,0.156170415139152,0.489721803802716,-5.38109567415756
"ILMN_2599327",-0.0941473816666663,0.946201572857143,-1.48975521202751,0.156180516270475,0.489721803802716,-5.38114805255093
"ILMN_2677954",-0.1089867525,0.937721855714286,-1.48969703891851,0.156195661126476,0.489721803802716,-5.3812265774795
"ILMN_1239859",-0.0796318049999999,0.954496141428571,-1.48943943956432,0.156262739545093,0.489822474142579,-5.38157427033696
"ILMN_2689581",-0.0832377158333331,0.952435624285714,-1.48942733311137,0.156265892634193,0.489822474142579,-5.38159060983228
"ILMN_2741070",-0.0949188933333332,0.945760665714286,-1.48923797876038,0.156315216297497,0.489917320794825,-5.38184615939051
"ILMN_1257180",-0.106812814166667,0.938964092857143,-1.48912977088325,0.156343408472117,0.489945922866827,-5.38199218411997
"ILMN_2826167",-0.0960101,0.945137035714286,-1.48898335051744,0.156381563160375,0.49000573448752,-5.38218976338541
"ILMN_2620545",0.147696391666667,1.08439787142857,1.48887958790619,0.156408606647563,0.490030719949089,-5.38232977162541
"ILMN_2939424",0.0954377333333335,1.05453591428571,1.48863686019253,0.156471883599672,0.490169205517587,-5.38265725889797
"ILMN_2666483",-0.0982893408333332,0.943834595714286,-1.48847516314888,0.156514048404513,0.490241528748267,-5.38287539783663
"ILMN_3001540",-0.0850494616666665,0.951400374285714,-1.48824333665943,0.15657451696182,0.49037115933795,-5.38318811477455
"ILMN_3033533",-0.103086660833333,0.94109337,-1.48798505063564,0.15664191000458,0.490462734893941,-5.38353648094342
"ILMN_1225711",-0.0780421724999997,0.955404452857143,-1.48798497549781,0.156641929613362,0.490462734893941,-5.38353658227986
"ILMN_2663914",-0.0860073375,0.95085305,-1.4877352382263,0.156707115045798,0.49059584299434,-5.38387337536795
"ILMN_2688863",-0.0955348433333331,0.945408594285714,-1.48767583240405,0.156722624241761,0.49059584299434,-5.38395348324006
"ILMN_1242769",0.133232041666667,1.07613252857143,1.48746817569454,0.156776847629692,0.490705804328891,-5.38423348650864
"ILMN_1212850",0.0937299500000002,1.05356007142857,1.48734777814303,0.156808293027996,0.49073793462045,-5.38439581662375
"ILMN_3065921",0.0875657833333334,1.05003770714286,1.48728264297982,0.156825307199406,0.49073793462045,-5.38448363325219
"ILMN_1226688",0.103315453333333,1.05903744857143,1.48688294977106,0.156929746028036,0.490986175267281,-5.38502244546857
"ILMN_1244997",0.0871428750000002,1.04979592857143,1.48683281172353,0.156942851058312,0.490986175267281,-5.38509002716906
"ILMN_2634059",0.0915960083333336,1.05234054285714,1.48663921292998,0.156993462255726,0.491038692930304,-5.38535096545559
"ILMN_2685581",-0.0956889291666665,0.945320678571428,-1.48656163228152,0.15701374744098,0.491038692930304,-5.38545552388123
"ILMN_2689177",-0.0959210633333333,0.945187917142857,-1.48654932895813,0.157016964618761,0.491038692930304,-5.38547210516993
"ILMN_2913930",0.0948078950000001,1.05417592,1.48624616797307,0.15709625506428,0.491118170575116,-5.38588064536429
"ILMN_2694646",-0.0864570091666664,0.950596081428571,-1.48617932579276,0.157113741829584,0.491118170575116,-5.38597071362638
"ILMN_2870161",-0.0842197616666666,0.951874398571429,-1.4860650997796,0.157143628557436,0.491118170575116,-5.38612462349457
