comparison,SYMBOL,ENTREZID,ENSEMBL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B,direction,significant
WT_6h_ipsilateral_vs_contralateral,Pcdhb12,93883,ENSMUSG00000043458,protocadherin beta 12,-1.378703497043805,5.5569116834056,-4.660416727588778,0.0014616003109534123,0.022799122497540097,-1.0664903523050437,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Crip1,12925,ENSMUSG00000006360,cysteine-rich protein 1,1.6358652139790841,6.442364484482544,4.688106731185237,0.001476703238478945,0.023018589669082226,-1.0629153620029452,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Shq1,72171,ENSMUSG00000035378,SHQ1 homolog (S. cerevisiae),-0.7966779073693484,7.618951473791036,-4.651663523093333,0.0014788042657577353,0.023028557452510555,-1.078740536133365,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Gm20751,622552,ENSMUSG00000110016,"predicted gene, 20751",-1.8080012440099926,4.155492255898125,-4.651266168121049,0.0014795904269209936,0.023028557452510555,-1.0792969067552916,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Kcnq4,60613,ENSMUSG00000028631,"potassium voltage-gated channel, subfamily Q, member 4",0.8332413909895449,8.166623972142984,4.650041688173669,0.001482015888073416,0.023028557452510555,-1.0810115525435515,Up,TRUE
WT_6h_ipsilateral_vs_contralateral,Lingo1,235402,ENSMUSG00000049556,leucine rich repeat and Ig domain containing 1,-0.6675243809745339,12.805357477049448,-4.649919689002892,0.001482257780695669,0.023028557452510555,-1.081182400780099,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Herc1,235439,ENSMUSG00000038664,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,-0.5771456002326776,11.792686195139744,-4.649791573308637,0.0014825118467744168,0.023028557452510555,-1.0813618169957522,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Lbp,16803,ENSMUSG00000016024,lipopolysaccharide binding protein,-1.1727230844840006,7.068604988211989,-4.64839004286312,0.00148529429906291,0.023055700704966074,-1.0833247115554308,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,Eny2,223527,ENSMUSG00000022338,ENY2 transcription and export complex 2 subunit,-0.545642013141757,10.111527235905758,-4.641876572626432,0.001498299811467817,0.023241384610338176,-1.0924508760313492,Down,TRUE
WT_6h_ipsilateral_vs_contralateral,E130008D07Rik,545207,ENSMUSG00000117011,RIKEN cDNA E130008D07 gene,-1.2575305614815067,7.044773004223629,-4.640858127302134,0.00150034446502434,0.023256905329448276,-1.0938784088870737,Down,TRUE
